id,title,price,category
13142,"Glitter Tulle Fabric Rolls, Gold Foil Star Tulle Spool 6 Inch 50 Yards (150ft) Sparkle Sequin Netting Ribbon for Tutu Skirt Baby Shower Birthday Party DIY Bow Crafts (Black Tulle, Gold Stars)",9.99,Craft & Hobby Fabric
46184,"Fabrics, Modern Scandinavian, Daffodil Pink Cotton Fabrics, Quilt, Crafts, Sewing, Cut by The Yard, 44 Inches (SSSF006)",7.3,Craft & Hobby Fabric
48829,Urbun Baby Girls Headbands Wool Knitting Fabrics Turban Hairbands for Kids (4 Pack),8.99,Baby Care Products
8798,Spoonflower Fabric - Baby Blue White Swiss Cross Nursery Minimalistic Newborn Boy Printed on Petal Signature Cotton Fabric by The Yard - Sewing Quilting Apparel Crafts Decor,12.0,Craft & Hobby Fabric
33635,Cotton Computer Chips Circut Boards Technology Codes Bright Idea Science Fair 3 Green Cotton Fabric Print by The Yard (D756.12),14.95,Craft & Hobby Fabric
9249,BIGZFABRIC® Neoprene Bonded Sponge Waterproof Wetsuit Fabric Royal Blue 1mm Thick Sold by The Foot and Yard (1 Foot),7.75,Craft & Hobby Fabric
33823,"17 pc Halloween 1 Jelly Roll 2.5"" pre-Cut 100% Cotton Fabric Quilting Strips",23.5,Craft & Hobby Fabric
31405,"12 x 12 inches Print Cotton Precut Craft Fabric Bundle Squares for DIY Sewing Scrapbooking,Quilt Fabric Squares for Masks (30cm x 30cm) 28Pcs",17.99,Craft & Hobby Fabric
33009,"VOYOR Portable Sonic Electric Toothbrush, High Frequency Vibration with 5 Modes, Rechargeable Travel Toothbrush, Three-Section Detachable with Travel Case for Home Business Holiday Use ET410,Black",34.99,Beauty & Personal Care
29288,"Shannon Minky Solid Cuddle 3 Baby Pink, Fabric by the Yard",17.0,Craft & Hobby Fabric
5530,Chippi & Co Baby Silicone Finger Toothbrush BPA Free Dental Care for Newborn Baby Boy Girl 0 3 6 Sensory Development Toy (Mustard),8.99,Baby Care Products
42576,"Sunbrella Cast 40432-0000 Shale, Fabric by the Yard",29.95,Craft & Hobby Fabric
30835,"ATTITUDE 2-in-1 Natural Hair and Body Foaming Wash for Baby, EWG Verified Shampoo, Hypoallergenic Bath Soap, Almond Milk, 10 Fl. Oz.",9.99,Baby Care Products
